@relation 'csv_result-activity_recognition-weka.filters.unsupervised.attribute.Remove-R35-40,44-92-weka.filters.unsupervised.attribute.Remove-R2-31'

@attribute id numeric
@attribute XAVG numeric
@attribute YAVG numeric
@attribute ZAVG numeric
@attribute XSTANDDEV numeric
@attribute YSTANDDEV numeric
@attribute ZSTANDDEV numeric
@attribute ACTIVITY {A,B,C,D,E,F,G,H,I,J,K,L,M,O,P,Q,R,S}

@data
34,2.16565,-7.72232,1.22371,0.51588,0.659861,0.291902,B
35,1.26701,-8.21156,0.576434,0.511375,0.641718,0.222546,B
36,1.88288,-6.65422,4.48199,0.466273,0.60062,0.412357,B
37,9.24856,-3.70475,1.10346,0.216177,0.154384,0.177849,C
38,9.30158,-3.89106,0.582036,0.305033,0.165554,0.110708,C
39,9.47555,-3.76609,-0.732704,0.243853,0.166645,0.101118,C
40,9.39536,-3.62836,0.10328,0.222433,0.121431,0.113002,C
41,9.592,-3.26498,0.051194,0.26458,0.147637,0.162573,C
42,9.97606,-3.02479,-0.319201,0.177174,0.099024,0.114872,C
43,9.55264,-3.0101,-0.113204,0.36433,0.155548,0.142538,C
44,10.1322,-3.00805,-0.279816,0.186098,0.119327,0.099477,C
45,9.70195,-3.18356,-0.071509,0.272185,0.132848,0.152273,C
46,10.0954,-2.84951,0.019124,0.248231,0.117741,0.109383,C
47,9.87739,-2.90878,-0.315131,0.220664,0.145818,0.118321,C
48,9.95052,-2.7235,0.000784,0.271205,0.109155,0.115645,C
49,9.95217,-2.83034,-0.339252,0.234718,0.168237,0.102933,C
50,9.61876,-2.6202,0.13049,0.287289,0.131382,0.161202,C
51,10.2675,-2.28352,0.291907,0.268141,0.10819,0.102369,C
52,9.96346,-2.39688,0.589578,0.236433,0.129551,0.145507,C
53,9.92044,-2.81578,-0.002831,0.344351,0.199189,0.149753,C
54,10.4814,-2.06037,0.150446,0.16096,0.148569,0.088054,C
55,3.25914,-1.45547,8.58353,0.152228,0.069167,0.191294,D
56,2.93826,-1.60346,9.19733,0.002824,0.006692,0.002678,D
57,2.88309,-1.61616,9.22232,0.008143,0.016746,0.003914,D
58,2.90545,-2.00002,9.12785,0.014323,0.015261,0.007144,D
59,2.93445,-2.03634,9.11124,0.002616,0.005728,0.002711,D
60,2.94495,-1.99581,9.11673,0.002096,0.003499,0.0025,D
61,2.93632,-2.02661,9.11005,0.002998,0.005355,0.002534,D
62,2.91832,-1.98903,9.1264,0.002653,0.00439,0.002375,D
63,2.92454,-2.02828,9.11327,0.002311,0.004056,0.002176,D
64,2.94397,-2.029,9.10766,0.00181,0.00252,0.002297,D
65,2.94311,-2.04911,9.10256,0.002243,0.002495,0.00235,D
66,2.95015,-2.04643,9.09889,0.001989,0.002288,0.002317,D
67,2.96338,-2.03603,9.09961,0.005247,0.004639,0.002497,D
68,3.4702,-3.14875,8.49048,0.036148,0.073464,0.025082,D
69,3.44948,-3.84043,8.27131,0.002651,0.004501,0.002862,D
70,3.44796,-3.87655,8.25185,0.003386,0.010347,0.005089,D
71,3.46537,-3.88531,8.24165,0.002438,0.004046,0.002929,D
72,3.46911,-3.82774,8.2675,0.001886,0.002378,0.002349,D
73,8.67324,-1.43984,1.77118,0.126579,0.09648,0.174862,E
74,9.45493,-1.51762,0.477742,0.006811,0.013034,0.006782,E
75,9.54335,-1.35572,0.491727,0.006884,0.017003,0.00864,E
76,9.568,-1.17747,0.5161,0.008061,0.016586,0.016682,E
77,9.58649,-1.0999,0.38145,0.004105,0.010591,0.008568,E
78,9.59078,-1.04678,0.503902,0.003196,0.006535,0.003777,E
79,9.61364,-0.688848,0.620918,0.004568,0.014688,0.00987,E
80,9.61742,-0.590721,0.69764,0.002734,0.006037,0.003409,E
81,9.61294,-0.768192,0.532309,0.002658,0.005145,0.003469,E
82,9.60516,-0.867503,0.489991,0.003327,0.010925,0.005882,E
83,9.60878,-0.837097,0.500227,0.002586,0.007557,0.006524,E
84,9.53105,-0.319794,1.23829,0.013232,0.035165,0.059747,E
85,9.59791,-0.928328,0.576937,0.011992,0.020501,0.023049,E
86,9.61372,-0.687124,0.614478,0.005799,0.01675,0.008361,E
87,9.60437,-0.746368,0.700394,0.003667,0.011055,0.007626,E
88,9.60799,-0.578882,0.811257,0.003496,0.00854,0.004601,E
89,9.63069,-0.506338,0.598544,0.002871,0.008251,0.007515,E
90,9.62067,-0.668497,0.566702,0.002979,0.008154,0.005804,E
91,0.926763,-1.16252,8.44801,0.238578,0.060961,0.218997,F
92,-0.369563,-1.44058,9.61486,0.022294,0.093219,0.028392,F
93,-0.377392,-1.1635,9.65344,0.021726,0.066623,0.027413,F
94,-0.273352,-1.4435,9.66836,0.020783,0.070326,0.02551,F
95,-0.316496,-1.34947,9.62435,0.01712,0.05519,0.021219,F
96,-0.38807,-1.2806,9.63247,0.020594,0.072594,0.02351,F
97,-0.315322,-1.53096,9.63182,0.014669,0.069769,0.022942,F
98,-0.292649,-1.73455,9.55775,0.020697,0.073947,0.026967,F
99,-0.31124,-1.76897,9.5357,0.022158,0.084677,0.027178,F
100,-0.380289,-1.36171,9.64481,0.02351,0.096744,0.029664,F
101,-0.271054,-1.5595,9.64433,0.018963,0.06572,0.021704,F
102,-0.369479,-1.13448,9.68011,0.022213,0.070379,0.019734,F
103,-0.337337,-1.21527,9.65348,0.016916,0.056425,0.020203,F
104,-0.357903,-1.35688,9.63868,0.021172,0.079215,0.02243,F
105,-0.409438,-1.35472,9.61993,0.027765,0.100968,0.032033,F
106,-0.597671,-0.813143,9.67717,0.022405,0.074427,0.038731,F
107,-0.37817,-1.76062,9.57351,0.021898,0.079547,0.03165,F
108,-0.38752,-1.44582,9.65071,0.022452,0.093577,0.031818,F
109,-6.74404,0.731373,5.35675,0.228017,0.214961,0.155077,G
110,-8.73082,-0.965055,2.93038,0.072748,0.225834,0.110304,G
111,-7.91539,-1.31174,4.45344,0.099872,0.238344,0.112845,G
112,-7.55298,-0.950342,4.81029,0.10514,0.227054,0.124051,G
113,-8.6277,-1.00677,3.44586,0.067902,0.199055,0.111789,G
114,-8.37906,-0.71261,4.26255,0.091052,0.140472,0.113867,G
115,-8.68537,-1.41459,3.20561,0.058001,0.182545,0.103151,G
116,-8.87361,-1.01072,3.10171,0.065449,0.171893,0.118201,G
117,-8.99348,-0.547063,2.73776,0.065092,0.177743,0.097532,G
118,-9.08718,-0.970514,2.32129,0.057132,0.154875,0.102283,G
119,-9.10207,-1.48827,2.18556,0.069203,0.191371,0.137169,G
120,-8.16392,-0.101454,4.47847,0.102718,0.16661,0.134249,G
121,-8.78401,0.06043,3.58305,0.06427,0.178322,0.090598,G
122,-9.04268,-1.06061,2.49262,0.079897,0.165821,0.122413,G
123,-9.08026,0.308433,2.83425,0.106348,0.100957,0.12849,G
124,-8.48466,1.7601,3.96515,0.070451,0.151111,0.089872,G
125,-8.97109,-1.63713,2.65461,0.079281,0.153736,0.145586,G
126,-9.14608,-1.5966,1.69178,0.067711,0.133492,0.12938,G
127,-3.15385,-7.91045,0.879217,0.201274,0.207633,0.150487,H
128,-3.06242,-8.25561,2.39776,0.065426,0.090926,0.180781,H
129,-3.50012,-7.86914,3.1579,0.064664,0.098411,0.1503,H
130,-3.17945,-8.39475,2.5517,0.086551,0.076365,0.111612,H
131,-3.50211,-8.80486,-0.107769,0.091276,0.063439,0.061526,H
132,-4.0245,-8.47813,0.49071,0.089956,0.065989,0.101812,H
133,-2.42297,-8.61415,2.19132,0.129223,0.072553,0.144177,H
134,-3.30917,-8.80844,0.436253,0.08791,0.046493,0.09217,H
135,-2.63244,-8.91064,1.59312,0.068389,0.046098,0.105867,H
136,-2.81094,-8.47051,2.81226,0.059529,0.052014,0.120651,H
137,-2.65985,-8.72275,1.6677,0.069031,0.062559,0.154991,H
138,-3.17392,-8.72907,1.03301,0.071048,0.055838,0.132828,H
139,-3.35245,-8.11967,2.57382,0.092979,0.092403,0.160297,H
140,-3.41677,-7.81584,2.89728,0.083993,0.149803,0.164303,H
141,-2.64856,-8.80077,1.60825,0.065359,0.065934,0.133891,H
142,-3.17855,-8.69432,1.16992,0.098249,0.057251,0.112394,H
143,-2.87055,-8.41193,2.58312,0.098433,0.071113,0.137861,H
144,-2.70127,-8.6066,2.16515,0.091837,0.053409,0.135121,H
145,-5.6179,-2.42632,5.92233,0.176114,0.237233,0.167984,I
146,-6.35263,-2.98788,6.07331,0.112551,0.120681,0.141527,I
147,-5.58838,-3.71251,6.44176,0.126349,0.112282,0.135181,I
148,-6.52667,-3.37867,4.4976,0.124764,0.208763,0.230229,I
149,-5.71085,-3.973,5.77557,0.128502,0.222891,0.139515,I
150,-7.02013,-2.30835,5.18165,0.135119,0.159154,0.167453,I
151,-5.71834,-2.48231,6.7958,0.130266,0.156234,0.133278,I
152,-6.86744,-1.84915,5.87271,0.125173,0.106287,0.162506,I
153,-6.16019,-1.53197,6.4291,0.14084,0.130693,0.191723,I
154,-6.56245,-1.80755,6.01893,0.13139,0.152302,0.167071,I
155,-5.71052,-3.79886,5.66769,0.138187,0.207739,0.146087,I
156,-5.63647,-3.07285,6.61378,0.13157,0.121273,0.150451,I
157,-6.13856,-3.32425,5.20495,0.145677,0.213138,0.183087,I
158,-5.30376,-4.52571,4.83271,0.123508,0.213044,0.249267,I
159,-5.49192,-5.22919,4.20849,0.160227,0.147618,0.238757,I
160,-6.41862,-3.21802,5.61087,0.124737,0.12972,0.18621,I
161,-6.14501,-2.55746,5.69311,0.123107,0.173518,0.234262,I
162,-6.10799,-3.18143,5.87023,0.145156,0.139174,0.171322,I
163,-3.13883,-5.27226,5.90733,0.133606,0.195476,0.215196,J
164,-3.11891,-6.50306,4.3634,0.07913,0.160969,0.271804,J
165,-2.76063,-7.08599,4.5466,0.063738,0.117908,0.218622,J
166,-3.4833,-6.40151,4.13014,0.088911,0.173465,0.264082,J
167,-4.2068,-5.6139,5.31195,0.076646,0.158853,0.198821,J
168,-3.49829,-5.05144,5.64091,0.097229,0.161293,0.281347,J
169,-3.66127,-6.08989,4.34335,0.100337,0.169159,0.271463,J
170,-3.06457,-5.40338,5.11409,0.108741,0.223998,0.275286,J
171,-2.45304,-3.04752,8.13224,0.096209,0.192428,0.093648,J
172,-3.43639,-5.76375,5.26879,0.080874,0.193891,0.232447,J
173,-3.40488,-5.62516,4.99921,0.079191,0.20016,0.272109,J
174,-2.56162,-6.23306,5.17342,0.123149,0.160086,0.239545,J
175,-2.7339,-6.15489,5.11357,0.093797,0.185837,0.244395,J
176,-2.90943,-6.12305,5.32654,0.07945,0.171943,0.2268,J
177,-3.54998,-5.55481,4.89914,0.087627,0.187683,0.282528,J
178,-3.47739,-5.05628,5.98355,0.05044,0.157789,0.249703,J
179,-3.29818,-6.27456,4.35701,0.098586,0.215566,0.246836,J
180,-2.94292,-5.53204,6.29786,0.062157,0.194776,0.158603,J
181,-6.48539,-2.40342,4.38969,0.190435,0.302425,0.124471,K
182,-8.828,-0.187783,2.52495,0.072252,0.233434,0.068419,K
183,-8.75071,0.014658,2.54838,0.056952,0.243017,0.091221,K
184,-8.39076,-0.686292,3.08807,0.063563,0.274143,0.065168,K
185,-8.34625,-0.624976,3.2124,0.060769,0.280908,0.044095,K
186,-8.48824,-0.664984,2.94804,0.055058,0.269313,0.061311,K
187,-8.64339,-0.825479,2.19757,0.057737,0.276103,0.060936,K
188,-8.67712,-0.555592,2.97057,0.031169,0.248538,0.038635,K
189,-8.51346,0.585257,2.51517,0.035091,0.292743,0.058424,K
190,-8.3283,-1.05217,2.89821,0.046161,0.290506,0.068598,K
191,-8.33666,-0.226797,3.04429,0.065132,0.285481,0.081869,K
192,-8.45202,-0.600903,2.88361,0.070481,0.272728,0.073517,K
193,-8.15133,-0.456245,2.72984,0.070473,0.325043,0.06076,K
194,-8.25822,-1.16757,3.08329,0.060185,0.283733,0.070399,K
195,-7.81429,-2.1712,3.62704,0.066809,0.279193,0.091745,K
196,-8.55996,-1.31703,3.09973,0.031665,0.244226,0.037959,K
197,-8.39945,-0.647398,3.39774,0.036574,0.265736,0.02952,K
198,-8.50634,-0.607379,3.70239,0.038704,0.225996,0.023059,K
199,-6.12103,-4.51818,2.07188,0.156264,0.329907,0.158748,L
200,-5.64222,-6.79252,2.31351,0.083132,0.1415,0.12967,L
201,-6.70441,-5.86364,2.9683,0.05388,0.094675,0.064771,L
202,-6.10128,-6.87661,1.54425,0.079682,0.110288,0.087106,L
203,-5.90894,-7.17909,1.39126,0.075671,0.102374,0.082885,L
204,-6.13804,-5.99914,3.09902,0.092206,0.157161,0.082334,L
205,-5.83546,-6.89487,1.95706,0.096861,0.136761,0.074696,L
206,-5.97958,-6.73299,2.25599,0.100623,0.129582,0.03698,L
207,-5.83811,-4.78356,4.56023,0.135711,0.178975,0.136915,L
208,-6.45992,-5.82597,2.39368,0.072735,0.135401,0.170377,L
209,-6.52718,-6.09376,2.93576,0.061842,0.097417,0.047566,L
210,-6.58549,-5.60187,3.22515,0.066755,0.124416,0.108305,L
211,-6.46492,-5.28958,3.75252,0.07796,0.130641,0.118863,L
212,-6.4919,-6.33952,2.30099,0.081871,0.098069,0.06533,L
213,-6.11804,-5.96191,3.11492,0.054242,0.154411,0.134818,L
214,-5.79555,-6.95039,1.94952,0.071197,0.123669,0.106531,L
215,-6.06165,-6.50404,2.42233,0.103958,0.137506,0.073044,L
216,-5.41345,-6.5227,3.15803,0.08709,0.165714,0.114843,L
217,4.02525,-4.417,2.10088,0.495619,0.212597,0.243231,M
218,10.0729,-0.873225,-0.011271,0.157876,0.204676,0.103704,M
219,9.81938,-2.21254,-0.550122,0.203612,0.237924,0.155752,M
220,10.2273,-1.08642,-0.624126,0.204573,0.185313,0.177889,M
221,10.2801,-0.970813,-0.441102,0.205275,0.229705,0.197107,M
222,10.2133,-0.909892,-1.04602,0.154127,0.24508,0.182922,M
223,9.97008,-1.1808,-0.160908,0.152381,0.198029,0.202908,M
224,10.4228,-0.778271,-0.357436,0.196081,0.214113,0.178661,M
225,9.82167,-1.34294,-0.218992,0.155399,0.193002,0.147213,M
226,10.0813,-0.381803,0.086401,0.197303,0.197194,0.215419,M
227,8.99798,-1.54395,0.010074,0.219867,0.21294,0.270496,M
228,10.1878,-1.16276,-0.375309,0.183785,0.264327,0.238406,M
229,9.67416,-1.22951,0.188801,0.124775,0.178258,0.114664,M
230,9.98915,-1.14845,-1.06297,0.147368,0.188626,0.198285,M
231,10.3435,-0.625153,-0.581306,0.173145,0.24653,0.267894,M
232,9.71277,-1.44216,0.353163,0.210986,0.225746,0.205736,M
233,10.2251,-0.800358,-0.093559,0.197062,0.244401,0.166301,M
234,10.2798,-2.16332,-0.251242,0.200202,0.241054,0.202608,M
235,6.13709,-3.27688,0.668653,0.526593,0.480111,0.439859,O
236,6.29383,-2.47583,0.830345,0.507158,0.450237,0.432717,O
237,6.98943,-4.25421,0.788949,0.422415,0.405828,0.418409,O
238,5.66688,-3.56039,0.763005,0.518362,0.51396,0.505866,O
239,7.38108,-2.98075,-0.226704,0.458353,0.445074,0.439896,O
240,7.31799,-4.06624,-0.393092,0.439383,0.475484,0.444183,O
241,7.05018,-2.92264,0.574806,0.485855,0.494674,0.488198,O
242,6.22216,-3.53193,0.45137,0.512706,0.456585,0.4818,O
243,4.77481,-2.85425,2.532,0.497936,0.475871,0.508217,O
244,5.48253,-4.17215,1.29253,0.472285,0.4173,0.476845,O
245,6.01063,-3.58934,1.51835,0.452331,0.442344,0.498491,O
246,4.20017,-2.31765,3.61611,0.464836,0.380128,0.471982,O
247,6.31435,-3.27965,1.52281,0.496824,0.447233,0.469115,O
248,6.06804,-2.64705,0.608911,0.553518,0.459134,0.496555,O
249,6.5429,-4.09704,1.03295,0.43713,0.434069,0.430156,O
250,4.82305,-3.05725,0.547913,0.52238,0.476859,0.485425,O
251,3.82944,-4.1611,1.2387,0.53088,0.490191,0.474328,O
252,4.4713,-3.86965,2.18551,0.513254,0.471935,0.554294,O
253,5.20405,-2.64347,0.852824,0.596424,0.571553,0.545346,P
254,6.67545,-0.905735,-0.183432,0.595064,0.700908,0.647886,P
255,6.4915,-1.06247,-1.58666,0.625171,0.713956,0.706542,P
256,6.73343,-1.60535,-0.043993,0.662802,0.673699,0.736047,P
257,4.83568,-0.653952,1.89637,0.635741,0.629962,0.661638,P
258,5.35158,-0.292485,2.27503,0.656324,0.614791,0.61465,P
259,4.41777,-0.839015,3.81496,0.61718,0.528128,0.538052,P
260,3.75973,-0.876257,4.58694,0.634976,0.514806,0.483446,P
261,4.74242,-0.898984,2.73809,0.646524,0.585496,0.496632,P
262,4.64398,-0.536909,3.3335,0.620991,0.564313,0.563589,P
263,4.72238,-0.37802,3.4075,0.628511,0.571797,0.51001,P
264,6.01214,-0.560465,1.91547,0.593995,0.603693,0.500691,P
265,7.34822,-1.34932,1.11421,0.552136,0.517614,0.545292,P
266,6.55426,-0.576826,0.886178,0.618951,0.681534,0.662502,P
267,4.58745,-0.937111,3.93853,0.607407,0.497316,0.461873,P
268,5.29556,-0.48189,2.25191,0.624436,0.523085,0.559635,P
269,4.46383,-0.057808,1.75998,0.648992,0.556648,0.569968,P
270,5.94384,-1.33974,2.24596,0.657448,0.552626,0.52026,P
271,2.63209,-5.6255,-1.26536,0.398844,0.439157,0.443681,Q
272,-0.048656,-9.18014,-3.37287,0.025775,0.036437,0.086032,Q
273,0.000257,-9.24786,-3.08801,0.022074,0.060764,0.087656,Q
274,-0.192811,-9.26354,-2.08148,0.042236,0.082405,0.151651,Q
275,-0.101855,-9.41191,1.82977,0.05995,0.118993,0.13028,Q
276,-0.041533,-9.4602,-2.16324,0.026991,0.039611,0.087058,Q
277,0.07595,-9.30535,-2.99133,0.024542,0.016844,0.071704,Q
278,0.020189,-9.2427,-3.14764,0.014914,0.031139,0.06504,Q
279,0.017208,-9.13638,-3.22896,0.027914,0.049902,0.090015,Q
280,-0.07018,-9.15087,-3.21733,0.021267,0.032631,0.077749,Q
281,0.125103,-9.24273,-3.25272,0.050434,0.060362,0.079548,Q
282,0.045987,-9.16095,-1.2293,0.037826,0.079204,0.222285,Q
283,-0.223373,-9.11986,-3.43697,0.017166,0.027756,0.060413,Q
284,-0.088639,-9.51842,-1.50477,0.018253,0.053723,0.132905,Q
285,-0.128419,-9.54662,-0.91841,0.01586,0.045298,0.123035,Q
286,-0.060783,-9.38655,-2.60333,0.028736,0.061829,0.076342,Q
287,-0.072981,-9.38528,-2.63747,0.011155,0.030067,0.049692,Q
288,-0.091596,-9.26945,-2.85686,0.02605,0.033343,0.081458,Q
289,-4.14149,-5.03097,2.4716,0.30875,0.286578,0.415161,R
290,-6.89346,-3.07414,5.54511,0.235435,0.154151,0.342935,R
291,-6.95255,-2.31212,5.37432,0.304922,0.226751,0.385107,R
292,-7.02591,-1.80331,5.21455,0.313494,0.211912,0.37993,R
293,-6.89787,-2.22454,5.14806,0.313309,0.245874,0.408964,R
294,-7.1699,-1.99726,5.50739,0.234179,0.205128,0.382678,R
295,-6.78983,-1.41816,6.04335,0.282633,0.23801,0.377054,R
296,-7.37385,-1.1846,5.09587,0.260173,0.205731,0.40506,R
297,-7.6034,-1.76932,5.09309,0.181465,0.178109,0.359301,R
298,-7.65433,-1.83728,5.27081,0.183646,0.194724,0.369199,R
299,-7.77896,-2.15467,4.63395,0.202285,0.215597,0.398337,R
300,-7.99635,-0.377584,4.49848,0.197387,0.228784,0.382678,R
301,-8.29014,-0.89849,4.6395,0.152477,0.200016,0.349536,R
302,-7.96791,-0.786717,4.99573,0.174894,0.220744,0.374598,R
303,-7.93034,-1.04753,4.70993,0.165757,0.223734,0.361207,R
304,-7.92413,-1.51799,4.59938,0.150703,0.207756,0.347221,R
305,-8.28068,-1.48227,3.94167,0.131792,0.233062,0.359728,R
306,-8.29092,-1.56682,3.98438,0.128601,0.205784,0.404307,R
307,-4.60291,-2.52832,5.96752,0.241359,0.349247,0.24682,S
308,-6.45397,-1.50868,6.20251,0.137596,0.240487,0.194519,S
309,-5.13772,-3.30828,3.04325,0.183206,0.339209,0.481268,S
310,0.940101,-7.64298,-2.97846,0.37934,0.139767,0.142593,S
311,-2.20614,-3.47661,4.92134,0.376769,0.379115,0.267403,S
312,-1.46491,-5.49562,0.804996,0.394903,0.373751,0.338872,S
313,-2.50841,-6.06883,1.97817,0.347864,0.22603,0.35599,S
314,-3.94722,-5.0681,2.15206,0.334633,0.300807,0.346649,S
315,-3.42149,-6.24783,0.310797,0.423223,0.2014,0.260957,S
316,-3.7142,-6.01429,1.64519,0.368266,0.299884,0.3233,S
317,-2.22142,-6.86234,-0.105004,0.385781,0.280015,0.2879,S
318,-2.11713,-6.19357,-1.19215,0.365223,0.176096,0.388716,S
319,-3.06296,-6.54003,2.641,0.357078,0.227918,0.236973,S
320,-0.658663,-6.87061,-0.535002,0.422966,0.268987,0.311251,S
321,-2.80334,-5.37483,2.02135,0.325985,0.28591,0.387379,S
322,-2.50007,-6.44904,-0.456903,0.332095,0.278159,0.376126,S
323,-4.10135,-5.45427,0.319572,0.355639,0.249649,0.383994,S
324,-2.69528,-6.24619,0.000664,0.352813,0.214082,0.388347,S
325,-5.19394,-3.75737,3.91791,0.169546,0.216179,0.416698,S
326,-3.26679,-6.20677,-1.51069,0.360572,0.172767,0.326137,S
327,-3.66421,-6.74549,1.6581,0.343746,0.242663,0.209552,S
